"","year","month","weather_region","vehicle","model","region","season","distance","efficiency","kwh","economy","wh","HDD","CDD","avg_temp","time_month","date","predict_vehicle_econ","wh_pred"
"24269",2022,1,"auckland","acc5d32a","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",265,6.7,39.6,149.253731343284,39600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,137.670930393138,36482.7965541816
"24270",2022,1,"auckland","3890a456","Nissan Leaf (30 kWh)","Rodney","Summer",835,6.6,126.5,151.515151515152,126500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,152.124815567285,127024.220998683
"24271",2022,1,"auckland","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",226,6.9,32.8,144.927536231884,32800,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,132.60961422391,29969.7728146037
"24272",2022,1,"auckland","45531455","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",344,7.9,43.5,126.582278481013,43500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,126.410189573335,43485.1052132274
"24273",2022,1,"auckland","974641e1","Nissan Leaf (30 kWh)","Auckland","Summer",2103,7.9,266.2,126.582278481013,266200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,126.78903185387,266637.333988689
"24274",2022,1,"auckland","7a8d570d","Nissan Leaf (30 kWh)","Auckland","Summer",1339,6.5,206,153.846153846154,206000,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,151.425525011397,202758.77799026
"24275",2022,1,"auckland","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Summer",995,6.9,144.2,144.927536231884,144200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,147.448103531239,146710.863013582
"24276",2022,1,"auckland","14840f85","Hyundai Ioniq (EV)","Auckland","Summer",881,8.7,101.3,114.942528735632,101300,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,113.610812791679,100091.126069469
"24277",2022,1,"auckland","347ed440","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",936,7.7,121.6,129.87012987013,121600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,122.701044662788,114848.17780437
"24278",2022,1,"auckland","70afc39b","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1074,7.5,143.2,133.333333333333,143200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,125.291918549325,134563.520521975
"24280",2022,1,"christchurch","4b7ccb02","Nissan Leaf (24 kWh) 2013-2016","North Canterbury","Summer",2718,6.4,424.7,156.25,424700,0.308064516129032,0.103897849462366,17.4657258064516,61,2022-01-01,147.617855236076,401225.330531656
"24281",2022,1,"christchurch","ce4db411","Nissan Leaf (30 kWh)","Mid Canterbury","Summer",1468,7,209.7,142.857142857143,209700,0.308064516129032,0.103897849462366,17.4657258064516,61,2022-01-01,147.016682025856,215820.489213956
"24282",2022,1,"christchurch","563fde2c","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",1152,7.4,155.7,135.135135135135,155700,0.308064516129032,0.103897849462366,17.4657258064516,61,2022-01-01,135.652891599539,156272.131122669
"24283",2022,1,"christchurch","f8efa739","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",360,7.9,45.6,126.582278481013,45600,0.308064516129032,0.103897849462366,17.4657258064516,61,2022-01-01,125.650526831113,45234.1896592008
